epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.879,2.55581,3.66159,2.10907,0.01778,0.65306,0.07183,0.03239,2.00128,3.34687,1.86509,0.09802,2e-05,2e-05
2,67.3802,1.78024,3.28703,1.59964,0.01824,0.63265,0.06226,0.01957,2.48218,3.61685,1.9331,0.0950484,4.835e-05,4.835e-05
3,100.101,1.85827,4.11952,1.5568,0.01627,0.56463,0.02104,0.00593,2.70668,3.67981,2.2785,0.0920747,7.472e-05,7.472e-05
4,132.815,1.83069,2.62579,1.66255,0.0149,0.51701,0.01329,0.00304,2.71811,3.6678,2.38527,0.0890991,9.911e-05,9.911e-05
5,165.115,1.62691,2.36049,1.32991,0.01451,0.5034,0.01215,0.00288,2.4926,3.45609,2.41334,0.0861215,0.00012152,0.00012152
6,198.126,1.49504,2.4801,1.24471,0.01456,0.56463,0.01282,0.00374,2.29726,3.33302,2.57894,0.083142,0.00014195,0.00014195
7,230.398,1.59996,2.12071,1.3947,0.01772,0.68707,0.03339,0.01045,2.17795,3.26453,2.39614,0.0801604,0.0001604,0.0001604
8,262.951,1.98071,3.74943,1.27509,0.01772,0.68707,0.048,0.01781,2.17301,3.25884,2.25464,0.0771769,0.00017687,0.00017687
9,294.288,1.0499,9.25194,0.84359,0.01141,0.76871,0.05161,0.0195,2.21227,3.34233,2.06525,0.0741914,0.00019136,0.00019136
10,328.096,0.98445,6.20506,0.856,0.01202,0.80952,0.05089,0.02,2.11159,3.3943,1.92655,0.0712039,0.00020387,0.00020387
11,360.295,1.70309,2.034,1.35982,0.01283,0.86395,0.04421,0.01899,1.90983,3.4695,1.76046,0.0682144,0.0002144,0.0002144
12,395.137,1.63346,2.69609,1.37779,0.01303,0.87755,0.04986,0.02273,1.88106,3.50991,1.78568,0.065223,0.00022295,0.00022295
13,426.334,1.58208,1.96133,1.31329,0.01369,0.91156,0.08231,0.03843,1.72848,3.56425,1.72928,0.0622295,0.00022952,0.00022952
14,457.689,1.49892,1.85105,1.27287,0.01619,0.89796,0.11201,0.05214,1.787,3.56584,1.74788,0.0592341,0.00023411,0.00023411
15,488.364,1.68426,2.91794,1.34181,0.02028,0.88435,0.19813,0.09032,1.83348,3.52349,1.69475,0.0562367,0.00023672,0.00023672
16,520.401,1.54443,1.76622,1.20736,0.02224,0.85034,0.21403,0.09596,1.82488,3.52031,1.65934,0.0532374,0.00023735,0.00023735
17,550.867,1.38066,1.66269,1.25633,0.02967,0.83673,0.25079,0.12229,1.74567,3.53036,1.57726,0.050236,0.000236,0.000236
18,582.821,1.00558,6.70751,0.86908,0.03511,0.85714,0.30279,0.15114,1.67814,3.51035,1.50868,0.0472327,0.00023267,0.00023267
19,616.918,1.47954,1.46935,1.42721,0.0442,0.83673,0.35111,0.18342,1.55385,3.50867,1.43308,0.0442274,0.00022736,0.00022736
20,647.891,1.56692,1.55871,1.32582,0.05498,0.86395,0.41558,0.22556,1.49444,3.41846,1.40773,0.0412201,0.00022007,0.00022007
21,677.224,0.91477,4.56775,0.83435,0.06707,0.91156,0.48786,0.26845,1.43516,3.29524,1.37418,0.0382108,0.0002108,0.0002108
22,711.377,1.57081,1.86226,1.3303,0.07442,0.93197,0.5531,0.31513,1.38411,3.17114,1.34555,0.0351995,0.00019955,0.00019955
23,740.073,1.71873,1.88144,1.80852,0.07642,0.95238,0.59247,0.34492,1.336,3.06196,1.30943,0.0321863,0.00018632,0.00018632
24,768.43,1.24268,1.33608,1.19824,0.07912,0.95918,0.63206,0.37007,1.31011,2.9696,1.29387,0.0291711,0.00017111,0.00017111
25,803.61,0.9133,2.0087,0.82737,0.08059,0.96599,0.66457,0.39476,1.31444,2.83124,1.27402,0.0261539,0.00015392,0.00015392
26,838.058,0.88265,2.10966,0.82797,0.59862,0.7619,0.70106,0.41782,1.32568,2.64162,1.26665,0.0231348,0.00013475,0.00013475
27,870.843,1.38273,1.74488,1.22832,0.82441,0.3833,0.72914,0.4401,1.28804,2.42766,1.23367,0.0201136,0.0001136,0.0001136
28,903.862,0.86181,2.25281,0.76744,0.86091,0.21054,0.75938,0.46182,1.23096,2.2227,1.19444,0.0170905,9.047e-05,9.047e-05
29,935.1,0.86875,2.07877,0.80824,0.86091,0.21054,0.75938,0.46182,1.23096,2.2227,1.19444,0.0140654,6.536e-05,6.536e-05
30,965.465,1.06105,1.17688,1.11075,0.83194,0.40412,0.79452,0.49552,1.18312,1.93889,1.1511,0.0110383,3.827e-05,3.827e-05
