epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.4425,2.24205,4.08213,1.50278,0.00067,0.06606,0.00079,0.0002,3.14382,4.10125,2.44573,0.09505,5e-05,5e-05
2,190.067,1.71818,3.35086,1.0952,0.00667,0.0098,0.00342,0.00176,3.43759,4.25303,2.56417,0.0891078,0.000107822,0.000107822
3,284.705,1.68614,3.03014,1.09399,0.00103,0.00392,0.00054,0.00013,3.45178,4.69281,2.83413,0.0831633,0.000163268,0.000163268
4,378.858,1.64091,2.85214,1.06888,0.00908,0.01072,0.00476,0.00294,3.07896,4.43781,2.30508,0.0772163,0.000216338,0.000216338
5,478.314,1.63299,2.69423,1.08499,0.0289,0.03159,0.01619,0.00831,2.36215,3.77523,1.48545,0.071267,0.000267032,0.000267032
6,572.286,1.55463,2.60006,1.08784,0.00161,0.01667,0.00135,0.00052,1.95391,3.60647,1.25342,0.0653154,0.00031535,0.00031535
7,664.262,1.55782,2.4379,1.06472,0.06026,0.01571,0.03121,0.01513,1.8701,3.58642,1.26491,0.0593613,0.000361292,0.000361292
8,755.923,1.58471,2.37034,1.07948,0.11472,0.07252,0.06864,0.03717,1.9942,3.60713,1.29213,0.0534049,0.000404858,0.000404858
9,849.157,1.60862,2.25232,1.08651,0.06325,0.28883,0.08328,0.04257,1.79436,3.16091,1.14532,0.047446,0.000446048,0.000446048
10,942.583,1.54488,2.02798,1.07204,0.0797,0.29879,0.10749,0.05272,1.78621,3.31843,1.18332,0.0414849,0.000484862,0.000484862
11,1035.85,1.56291,1.93079,1.06979,0.10377,0.32211,0.14011,0.06671,1.69715,3.31444,1.20185,0.0355213,0.0005213,0.0005213
12,1125.87,1.58329,1.92537,1.09199,0.09147,0.46985,0.22641,0.11117,1.57185,2.95671,1.13843,0.0295554,0.000555362,0.000555362
13,1220.94,1.58051,1.85394,1.0623,0.15577,0.54262,0.33506,0.17437,1.5331,2.8053,1.11345,0.023587,0.000587048,0.000587048
14,1315.84,1.57482,1.71864,1.09885,0.84961,0.20926,0.37557,0.19141,1.57742,2.66652,1.14658,0.0176164,0.000616358,0.000616358
15,1410.41,1.53157,1.55905,1.07922,0.85822,0.27803,0.39347,0.19795,1.58257,2.42683,1.14425,0.0116433,0.000643292,0.000643292
16,1500.53,1.57633,1.56107,1.09914,0.79494,0.36889,0.44366,0.22455,1.57607,1.94655,1.12142,0.00566785,0.00066785,0.00066785
17,1590.91,1.55382,1.47054,1.08225,0.69136,0.4072,0.48275,0.25373,1.5492,1.91051,1.11524,0.0006832,0.0006832,0.0006832
18,1681.96,1.50315,1.4841,1.05617,0.69802,0.42988,0.51415,0.28278,1.5042,1.86463,1.10755,0.0006634,0.0006634,0.0006634
19,1773.13,1.51633,1.49454,1.0951,0.70355,0.47028,0.52857,0.29065,1.48418,1.792,1.10414,0.0006436,0.0006436,0.0006436
20,1864.85,1.54748,1.41778,1.0857,0.70005,0.39995,0.4191,0.22496,1.49466,1.73977,1.10968,0.0006238,0.0006238,0.0006238
21,1956.89,1.57873,1.42476,1.08827,0.68702,0.39573,0.39842,0.20712,1.53666,1.71923,1.1316,0.000604,0.000604,0.000604
22,2045.82,1.52608,1.36934,1.08894,0.69122,0.45756,0.46421,0.23913,1.56898,1.52471,1.14567,0.0005842,0.0005842,0.0005842
23,2135.68,1.53457,1.316,1.07251,0.77333,0.51809,0.54328,0.29111,1.51854,1.38445,1.11822,0.0005644,0.0005644,0.0005644
24,2226.14,1.52602,1.3337,1.07178,0.81836,0.53724,0.56762,0.31266,1.45884,1.27427,1.09451,0.0005446,0.0005446,0.0005446
25,2317.86,1.4665,1.28884,1.0443,0.81599,0.55403,0.59473,0.32769,1.46684,1.27023,1.09789,0.0005248,0.0005248,0.0005248
26,2410.47,1.47781,1.34038,1.06443,0.64523,0.60106,0.60227,0.33119,1.48934,1.24967,1.10036,0.000505,0.000505,0.000505
27,2503.08,1.48398,1.23245,1.06903,0.59274,0.58615,0.59098,0.32187,1.50011,1.24454,1.10051,0.0004852,0.0004852,0.0004852
28,2594.86,1.48406,1.21818,1.05767,0.81635,0.52584,0.56077,0.30632,1.49502,1.19974,1.09839,0.0004654,0.0004654,0.0004654
29,2689.26,1.50378,1.21109,1.05879,0.81198,0.52989,0.55449,0.30449,1.4733,1.18764,1.09001,0.0004456,0.0004456,0.0004456
30,2784.47,1.47372,1.2294,1.08965,0.83437,0.55654,0.57392,0.32286,1.45293,1.16108,1.07763,0.0004258,0.0004258,0.0004258
31,2894.35,1.42586,1.16404,1.05852,0.83973,0.54232,0.56592,0.32373,1.45955,1.14761,1.08086,0.000406,0.000406,0.000406
32,3003.92,1.46255,1.17998,1.05717,0.85393,0.54325,0.57673,0.33387,1.45858,1.12057,1.07925,0.0003862,0.0003862,0.0003862
33,3110.95,1.5087,1.23009,1.0825,0.85773,0.54582,0.5805,0.3353,1.47095,1.11769,1.08261,0.0003664,0.0003664,0.0003664
34,3202.8,1.45556,1.11159,1.0404,0.75563,0.54233,0.54926,0.31237,1.48378,1.12185,1.09583,0.0003466,0.0003466,0.0003466
35,3300.7,1.52242,1.17298,1.06555,0.68435,0.54705,0.53921,0.3079,1.47192,1.11841,1.09193,0.0003268,0.0003268,0.0003268
