epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,3400.1,1.48971,1.21365,1.09383,0.66038,0.54291,0.54353,0.31783,1.41999,1.12756,1.07484,0.000307,0.000307,0.000307
37,3498.33,1.47586,1.18293,1.05491,0.71605,0.54764,0.55146,0.32202,1.41745,1.12482,1.0737,0.0002872,0.0002872,0.0002872
38,3595.14,1.46103,1.13948,1.03095,0.77487,0.61381,0.64203,0.37719,1.42321,1.08466,1.07608,0.0002674,0.0002674,0.0002674
39,3693.9,1.48972,1.14831,1.05825,0.80599,0.60825,0.63874,0.37659,1.41464,1.06115,1.0721,0.0002476,0.0002476,0.0002476
40,3786.71,1.4093,1.08517,1.04219,0.81895,0.66231,0.71365,0.42476,1.40563,1.04342,1.06503,0.0002278,0.0002278,0.0002278
41,3881.38,1.43535,1.23585,1.09095,0.83287,0.60606,0.63429,0.37498,1.41386,1.05201,1.06548,0.000208,0.000208,0.000208
42,3971.96,1.47202,1.22646,1.09005,0.87512,0.55213,0.59861,0.35193,1.44094,1.07059,1.06864,0.0001882,0.0001882,0.0001882
43,4061.76,1.46337,1.21464,1.10471,0.87977,0.54836,0.60197,0.35293,1.44728,1.08131,1.06981,0.0001684,0.0001684,0.0001684
44,4154.51,1.44026,1.18388,1.07611,0.82862,0.53881,0.56587,0.33348,1.44695,1.11344,1.06775,0.0001486,0.0001486,0.0001486
45,4245.08,1.46413,1.19305,1.10245,0.80074,0.50352,0.52876,0.31049,1.43807,1.12215,1.06425,0.0001288,0.0001288,0.0001288
46,4336.28,1.41508,1.18478,1.06679,0.80584,0.46119,0.48368,0.28302,1.41767,1.11341,1.05709,0.000109,0.000109,0.000109
47,4426.28,1.42979,1.16382,1.08176,0.80383,0.45836,0.48466,0.28504,1.40905,1.10218,1.0547,8.92e-05,8.92e-05,8.92e-05
48,4514.91,1.4231,1.18233,1.05432,0.83503,0.44144,0.47784,0.28134,1.40076,1.0808,1.05343,6.94e-05,6.94e-05,6.94e-05
49,4604.99,1.43579,1.15691,1.07803,0.86611,0.44431,0.47851,0.28225,1.39807,1.07313,1.05302,4.96e-05,4.96e-05,4.96e-05
50,4694.91,1.43869,1.14777,1.07763,0.85424,0.44483,0.47839,0.28366,1.39377,1.06438,1.05314,2.98e-05,2.98e-05,2.98e-05
